Textbox3,Textbox56,Textbox61,Textbox64,Textbox21,Textbox79,Textbox84,Textbox87,Textbox90,Textbox22,Textbox93,Name1,Handle,StartingStock1,NewStock1,Return1,Transfer1,AdjustmentIncrease1,OtherIncrease1,InternalUse1,Damaged1,OutOfDate1,Sold1,Removed1,AdjustmentDecrease,Textbox24,OtherDecrease1,EndStock1,Textbox7,Textbox8,Textbox9,Textbox10,Textbox11,Textbox12,Textbox13,Textbox14,Textbox15,Textbox16,Textbox17,Textbox18,Textbox25,Textbox19,Textbox20
,,,,,,,,,,,Brushworx Ceramic Brush BB-2,9325024014682,2,,,,,,,,,,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,Cricket Thermal Static Free Brush 38,672555118792,,,,,1,,,,,,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,Cricket Thermal Static Free Brush 53,672555118815,2,,,,,,,,,,,1,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,EVY QuadTech Brush 33mm,9345892000228,-1,,,,,1,,,,,,,,,,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,EVY QuadTech Brush 43mm,9345892000204,-1,,,,,1,,,,,,,,,,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,EVY QuadTech Brush 53mm,9345892000198,-1,,,,,1,,,,,,,,,,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,EVY Schima Mixed Bristle Round Brush 25mm,9345892000266,,,,,2,,,,,,,1,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,EVY Schima Mixed Bristle Round Brush 30mm,9345892000273,,,,,2,,,,,,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,GHD Platinum Styler,5060356733156,1,,,,,,,,,,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,GHD Style Final Shine Spray 100ml,5060034527442,2,,,,,,,,,,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,GHD V Gold Styler Gift Set,5060034520092,-4,,,,7,,,,,1,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,Latino Keratin Infused Conditioner  470ml,9342495000310,2,,,,,,,,,,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,Latino Keratin Infused Shampoo  470ml,9342495000303,1,,,,,,,,,,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR Hair Chalk 50ml Blue Ocean Cruise,3474630627178,3,,,,,,,,,,,,,,3,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR Hair Chalk 50ml Bronze Beach,3474630627291,3,,,,,,,,,,,,,,3,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR Hair Chalk 50ml Coral Sunset,3474630627130,4,,,,,,,,,,,,,,4,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR Hair Chalk 50ml First Date Violet,3474630627475,3,,,,,,,,,,,,,,3,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR Hair Chalk 50ml Garden Party,,1,,,,,,,,,,,,,1,,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR Hair Chalk 50ml Sweet Sixteen Pink,3474630627215,2,,,,,,,,,,,,,1,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR Hair Touch Up Black 75ml,3474630698000,,,,,4,,,,,1,,,,,3,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR Hair Touch Up Brown 75ml,3474630698185,-16,1,,,19,,,,,2,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR Hair Touch Up Dark Blonde 75ml,3474630698505,-9,,,,13,,,,,2,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR Hair Touch up Light Brown 75ml,3474630698345,,2,,,2,,,,,1,,,,,3,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR Hair Touch up Mahogany Brown 75ml,3474636434091,-3,3,,,4,,,,,1,,,,,3,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR Hair Touch up Warm Blonde 75ml,3474636434145,,3,,,,,,,,1,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR Infinium Hairspray 500ml,3474630729919,-21,,,,25,,,,,2,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR Mythic Oil Masque 200ml,3474630471764,1,,,,,,,,,,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR Mythic Oil Shampoo 250ml,3474636391134,-10,,,,12,,,,,2,,,,,,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR Pack For Coloured Hair,9315341031608,,6,,,,,,,,1,,,,,5,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR Pack Luminous Blonde Hair,9315341020381,5,,,,,,,,,4,,1,,,,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR PF Reconstruct Conditioner 200ml,3474630731912,3,,,,,,,,,,,2,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR PF Reconstruct Leave In 75ml,3474630732117,2,,,,1,,,,,,,,,,3,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR PF Reconstruct Masque 200ml,3474630732018,2,,,,,,,,,,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR PF Reconstruct Shampoo 250ml,3474630731813,,,,,1,,,,,,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR PF Recreate  Shampoo 250ml,3474636388790,1,,,,,,,,,,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR PF Recreate Conditioner 200ml,3474636388868,-2,,,,4,,,,,,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR PF Recreate Leave In 150ml,3474636388882,,,,,4,,,,,,,,,,4,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR PF Rectify Conditioner 250ml,3474630731110,2,,,,,,,,,,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR PF Rectify Leave In,3474630731318,1,,,,1,,,,,,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR PF Rectify Masque 200ml,3474630731219,4,,,,,,,,,,,,,,4,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR PF Rectify Shampoo 250ml,3474630731011,1,,,,1,,,,,,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR PF Restore Conditioner 250ml,3474630731516,1,,,,1,,,,,,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR PF Restore Leave In 150ml,3474630731714,1,,,,,,,,,,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR PF Restore Masque 200ml,3474630731615,4,,,,,,,,,,,,,,4,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR PF Restore Shampoo 250ml,3474630731417,,,,,2,,,,,,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR SE Absolut Repair Conditioner 200ml,3474636481750,-6,2,,,11,,,,,5,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR SE Absolut Repair Masque 250ml,3474636481774,,,,,1,,,,,,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR SE Absolut Repair Shampoo 300ml,3474636481712,-37,1,,,42,,,,,4,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR SE Absolute Repair Blow-Dry Cream 125ml,3474636481804,-11,2,,,12,,,,,1,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR SE Absolute Repair Double Serum 2 x 15ml,3474636481866,1,,,,3,,,,,,,,,,4,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR SE Absolute Repair Double Serum EX 2 x 15ml,3474630641143,,,,,1,,,,,,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR SE Inforcer Brush Proof 37g,884486339720,-2,,,,5,,,,,,,,,,3,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR SE Inforcer Conditioner 200ml,3474636483976,-6,,,,10,,,,,1,,,,,3,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR SE Inforcer Masque 250ml,3474636483990,-2,,,,4,,,,,1,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR SE Inforcer Shampoo 300ml,3474636483938,-6,1,,,10,,,,,3,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR SE Liss Unlimited Masque 250ml,3474636482474,-18,2,,,22,,,,,5,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR SE Liss Unlimited Shampoo 300ml,3474636481910,-16,1,,,19,,,,,2,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR SE Liss Unlimited Smoothing Cream 150ml,3474636482511,,,,,3,,,,,,,,,,3,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR SE Liss Unlimited Smoothing Cream EX 150ml,3474630536012,,,,,1,,,,,,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR SE Lumino Contrast 200ml,3474633001876,1,,,,1,,,,,,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR SE Lumino Contrast Shampoo 250ml,3474633001807,-1,,,,1,1,,,,,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR SE Nutrifier Blow Dry Cream 150ml,3474636506194,,2,,,1,,,,,1,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR SE Nutrifier Conditioner 200ml,3474636506156,-4,2,,,11,,,,,8,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR SE Nutrifier Masque 250ml,3474636506170,,1,,,1,,,,,,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR SE Nutrifier Masque EX 200ml,3474636382880,-1,,,,2,,,,,,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR SE Nutrifier Shampoo 300ml,3474636506125,-14,2,,,20,,,,,6,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR SE Scalp Instant Clear Shampoo 300ml,3474636568918,,1,,,1,,,,,,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR SE Scalp Sensi Balance Shampoo 300ml,3474636505593,-45,,,,51,,,,,4,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR SE Shine Blonde Shampoo 250ml,3474636404407,,,,,6,,,,,1,,,,,5,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR SE Silver Shampoo 300ml,3474636502844,-12,2,,,14,,,,,3,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR SE Vit Col AOX 10 in 1 Spray,3474636483839,-56,4,,,61,,,,,5,,,,,4,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR SE Vit Col AOX Color Correct Blonde 150ml,3474636483778,-88,,,,98,,,,,2,,,,,8,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR SE Vit Col AOX Color Corrector Brunettes 150ml,3474636483815,-6,,,,9,,,,,1,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR SE Vit Col AOX Conditioner 200ml,3474636483648,,4,,,,,,,,3,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR SE Vit Col AOX Masque 200ml,3474630714762,,,,,1,,,,,,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR SE Vit Col AOX Shampoo 300ml,3474636483891,,5,,,,,,,,5,,,,,,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR SE Vitamino Color Masque 200ml,3474630307476,,,,,1,,,,,,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR SE Volumetry Conditioner 200ml,3474636505890,-35,3,,,38,,,,,5,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR SE Volumetry Root Lift Spray 125ml,3474630527584,,,,,1,,,,,,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR SE Volumetry Shampoo 300ml,3474636505876,-44,3,,,49,,,,,7,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR Smartbond Conditioner 250ml,3474636452842,-64,11,,,78,,1,,,17,,,,,7,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR Steampod,3474630657632,-10,,,,15,,,,,1,,,,,4,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR SX Coloured Hair Conditioner 250ml,3474630643291,,1,,,1,,,,,1,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR SX Coloured Hair Shampoo 250ml,3474630643178,,3,,,,,,,,,,,,,3,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR SX Denser Hair Gelee 90ml,3474636432905,-8,,,,12,,,,,3,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR SX Natural Hair Conditioner 250ml,3474630643253,-1,,,,3,,,,,,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR SX Natural Hair Shampoo 250ml,3474630643161,-3,,,,6,,,,,1,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR SX Thicker Hair 90ml,3474630643659,-3,,,,5,,,,,,,,,,2,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
,,,,,,,,,,,LOR TA Dual Stylers Sleek and Swing 150ml,3474630648418,,4,,,,,1,,,2,,,,,1,-999,110,0,4,1141,281,4,0,0,201,0,8,1,7,316
